Company,Ticker,Sector
A2a,A2A.MI,Utilities
Acea,ACE.MI,Utilities
Acsm-agam,ACS.MI,Utilities
Aeroporto Guglielmo Marconi Di Bologna,ADB.MI,Industrials
Alerion Cleanpower,ARN.MI,Utilities
Ambienthesis,ATH.MI,Industrials
Amplifon,AMP.MI,Healthcare
Anima Holding,ANIM.MI,Financial Services
Aquafil,ECNL.MI,Consumer Cyclical
Ascopiave,ASC.MI,Utilities
Assiteca,ASSI.MI,Financial Services
Atlantia,ATL.MI,Industrials
Autogril,AGL.MI,Consumer Cyclical
Autostrade Merid,AUTME.MI,Industrials
Avio,AVIO.MI,Industrials
Axa,AXA.MI,Financial Services
Azimut Holding,AZM.MI,Financial Services
B&c Speakers,BEC.MI,Technology
B.f.,BFG.MI,Consumer Defensive
Banca Generali,BGN.MI,Financial Services
Banca Ifis,IF.MI,Financial Services
Banca Intermobiliare,BIM.MI,Financial Services
Banca Mediolanum,BMED.MI,Financial Services
Banca Sistema,BST.MI,Financial Services
Banco Bpm,BAMI.MI,Financial Services
Basicnet,BAN.MI,Consumer Cyclical
Bb Biotech,BB.MI,Healthcare
Bca Carige,CRG.MI,Financial Services
Bca Finnat,BFE.MI,Financial Services
Bca Mps,BMPS.MI,Financial Services
Bca Pop Sondrio,BPSO.MI,Financial Services
Bca Profilo,PRO.MI,Financial Services
Bco Desio Brianza,BDB.MI,Financial Services
Be,BEST.MI,Technology
Beghelli,BE.MI,Technology
Bff Bank,BFF.MI,Financial Services
Biancamano,BCM.MI,Industrials
Biesse,BSS.MI,Industrials
Bioera,BIE.MI,Industrials
Borgosesia,BO.MI,Consumer Cyclical
Bper Banca,BPE.MI,Financial Services
Brembo,BRE.MI,Consumer Cyclical
Brioschi,BRI.MI,Real Estate
Brunello Cucinelli,BC.MI,Consumer Cyclical
Buzzi Uicem Senza Vincoli Di Rapp,BZU.MI,Basic Materials
Cairo Communication,CAI.MI,Communication Services
Caleffi,CLF.MI,Consumer Cyclical
Caltagirone Edit,CED.MI,Communication Services
Caltagirone,CALT.MI,Basic Materials
Campari Davide Milano,CPR.MI,Consumer Defensive
Carel Industries,CRL.MI,Technology
Cattolica Ass,CASS.MI,Financial Services
Cellularline,CELL.MI,Technology
Cembre,CMB.MI,Industrials
Cementir Holding,CEM.MI,Basic Materials
Centrale Del Latte D'italia,CLI.MI,Consumer Defensive
Cia,CIA.MI,Real Estate
Cir,CIR.MI,Consumer Cyclical
Class Editori,CLE.MI,Communication Services
Cnh Industrial,CNHI.MI,Industrials
Coima Res,CRES.MI,Real Estate
Comer Industries,COM.MI,Industrials
Conafi,CNF.MI,Financial Services
Confinvest,CFV.MI,Financial Services
Cover 50,COV.MI,Consumer Cyclical
Covivio,CVO.MI,Real Estate
Credito Emiliano,CE.MI,Financial Services
Csp Int Ind Calze,CSP.MI,Consumer Cyclical
Culti Milano,CULT.MI,Consumer Cyclical
D'amico,DIS.MI,Industrials
Danieli & C Rsp,DANR.MI,Industrials
Danieli & C,DAN.MI,Industrials
Datalogic,DAL.MI,Technology
Dea Capital,DEA.MI,Financial Services
De'longhi,DLG.MI,Consumer Cyclical
Diasorin,DIA.MI,Healthcare
Digital Bros,DIB.MI,Communication Services
Digitouch,DGT.MI,Communication Services
Ediliziacrobatica,EDAC.MI,Industrials
Edison Rsp,EDNR.MI,Utilities
El.en.,ELN.MI,Healthcare
Elica,ELC.MI,Consumer Cyclical
Emak,EM.MI,Industrials
Enav,ENAV.MI,Industrials
Enel,ENEL.MI,Utilities
Enervit,ENV.MI,Consumer Defensive
Eni,ENI.MI,Energy
Equita Group,EQUI.MI,Financial Services
Erg,ERG.MI,Utilities
Esautomotion,ESAU.MI,Industrials
Esprinet,PRT.MI,Technology
Eukedos,EUK.MI,Healthcare
Exor,EXO.MI,Consumer Cyclical
Exprivia,XPR.MI,Technology
Falck Renewables,FKR.MI,Utilities
Ferrari,RACE.MI,Consumer Cyclical
Fervi,FVI.MI,Industrials
Fidia,FDA.MI,Industrials
Fiera Milano,FM.MI,Industrials
Fila,FILA.MI,Industrials
Fincantieri,FCT.MI,Industrials
Fine Foods & Pharmaceuticals Ntm,FF.MI,Consumer Defensive
Finecobank Banca Fineco,FBK.MI,Financial Services
Finlogic,FNL.MI,Industrials
First Capital,FIC.MI,Financial Services
Fnm,FNM.MI,Industrials
Fope,FPE.MI,Consumer Cyclical
Frendy Energy,FDE.MI,Utilities
Gabetti,GAB.MI,Real Estate
Gas Plus,GSP.MI,Utilities
Gefran,GE.MI,Technology
Generali Assicurazioni,G.MI,Financial Services
Geox,GEO.MI,Consumer Cyclical
Gequity,GEQ.MI,Financial Services
Giorgio Fedon,FED.MI,Consumer Defensive
Gpi,GPI.MI,Industrials
Health Italia,HI.MI,Healthcare
Hera,HER.MI,Utilities
I Grandi Viaggi,IGV.MI,Consumer Cyclical
Igd -siiq,IGD.MI,Real Estate
Il Sole 24 Ore,S24.MI,Communication Services
Ilpra,ILP.MI,Industrials
Immsi,IMS.MI,Consumer Cyclical
Indel B,INDB.MI,Technology
Iniziative Bresciane,IB.MI,Utilities
Intek Group Rsp,IKGR.MI,Basic Materials
Intek Group,IKG.MI,Basic Materials
Interpump Group,IP.MI,Industrials
Intesa Sanpaolo,ISP.MI,Financial Services
Intred,ITD.MI,Communication Services
Inwit,INW.MI,Communication Services
Irce,IRC.MI,Industrials
Iren,IRE.MI,Utilities
It Way,ITW.MI,Technology
Italgas,IG.MI,Utilities
Italian Wine Brands,IWB.MI,Consumer Defensive
Italmobiliare,ITM.MI,Consumer Defensive
Ki Group,KI.MI,Consumer Defensive
La Doria,LD.MI,Consumer Defensive
Landi Renzo,LR.MI,Consumer Cyclical
Leonardo Finmeccanica Spa,LDO.MI,Industrials
Leone Film Group,LFG.MI,Communication Services
Lucisano Media Group,LMG.MI,Communication Services
Lventure Group,LVEN.MI,Financial Services
Maire Tecnimont,MT.MI,Industrials
Marr,MARR.MI,Consumer Defensive
Marzocchi Pompe,MARP.MI,Industrials
Masi Agricola,MASI.MI,Consumer Defensive
Mediobanca Banca Di Credito Finanz,MB.MI,Financial Services
Mittel,MIT.MI,Financial Services
Moncler,MONC.MI,Consumer Cyclical
Mondadori Edit,MN.MI,Communication Services
Mondo Tv,MTV.MI,Communication Services
Monrif,MON.MI,Communication Services
Mutuionline,MOL.MI,Financial Services
Neodecortech,NDT.MI,Basic Materials
Netweek,NTW.MI,Communication Services
Next Re,NR.MI,Real Estate
Notorious Pictures,NPI.MI,Communication Services
Openjobmetis,OJM.MI,Industrials
Orsero,ORS.MI,Consumer Defensive
Ovs,OVS.MI,Consumer Cyclical
Pattern,PTR.MI,Consumer Cyclical
Pharmanutra,PHN.MI,Healthcare
Piaggio,PIA.MI,Consumer Cyclical
Pininfarina Spa,PINF.MI,Consumer Cyclical
Piovan,PVN.MI,Industrials
Piquadro,PQ.MI,Consumer Cyclical
Pirelli & Co,PIRC.MI,Consumer Cyclical
Piteco,PITE.MI,Technology
Plc,PLC.MI,Industrials
Poligrafici Printing,POPR.MI,Communication Services
Poste Italiane,PST.MI,Industrials
Prysmian,PRY.MI,Industrials
Rai Way,RWAY.MI,Industrials
Ratti,RAT.MI,Consumer Cyclical
Rcs Mediagroup,RCS.MI,Communication Services
Recordati Industria Chimica E Farm,REC.MI,Healthcare
Reply,REY.MI,Technology
Restart,RST.MI,Real Estate
Risanamento,RN.MI,Real Estate
Rosetti Marino,YRM.MI,Industrials
Sabaf,SAB.MI,Industrials
Saes Getters Risp Nc,SGR.MI,Technology
Safilo Group,SFL.MI,Healthcare
Saipem,SPM.MI,Energy
Salcef Group,SCF.MI,Industrials
Salvatore Ferragamo,SFER.MI,Consumer Cyclical
Saras,SRS.MI,Energy
Seri Industrial,SERI.MI,Utilities
Servizi Italia,SRI.MI,Industrials
Sesa,SES.MI,Technology
Sit,SIT.MI,Industrials
Snam,SRG.MI,Utilities
Softlab,SOF.MI,Communication Services
Sol,SOL.MI,Basic Materials
Somec,SOM.MI,Industrials
Stellantis,STLA.MI,Consumer Cyclical
Stmicroelectronics,STM.MI,Technology
Tamburi,TIP.MI,Financial Services
Tas,TAS.MI,Technology
Technogym,TGYM.MI,Consumer Cyclical
Telecom Italia R,TITR.MI,Communication Services
Telecom Italia,TIT.MI,Communication Services
Tenaris Sa,TEN.MI,Energy
Terna Rete Elettrica Nazionale,TRN.MI,Utilities
Tesmec,TES.MI,Industrials
Tim Group,TIT.MI,Communication Services
Tinexta,TNXT.MI,Technology
Tod S,TOD.MI,Consumer Cyclical
Toscana Aeroporti,TYA.MI,Industrials
Trawell Co,TWL.MI,Industrials
Trevi Fin Ind,TFI.MI,Industrials
Triboo,TB.MI,Communication Services
Txt E-solutions,TXT.MI,Technology
Unicredit,UCG.MI,Financial Services
Unieuro,UNIR.MI,Consumer Cyclical
Unipol Gruppo Finanziario,UNI.MI,Financial Services
Valsoia,VLS.MI,Consumer Defensive
Vianini,VIA.MI,Real Estate
Visibilia Editore,VE.MI,Industrials
Zignago Vetro,ZV.MI,Consumer Cyclical
Zucchi,ZUC.MI,Consumer Cyclical
