Company Name,Codice ISIN
A2A,IT0001233417
ABITARE IN,IT0005445280
ACEA,IT0001207098
ACINQUE,IT0001382024
AEFFE,IT0001384590
AEROPORTO GUGLIELMO MARCONI DI BOLOGNA,IT0001006128
ALERION,IT0004720733
ALGOWATT,IT0004359037
ALKEMY,IT0005314635
AMPLIFON,IT0004056880
ANIMA HOLDING,IT0004998065
ANTARES VISION,IT0005366601
AQUAFIL,IT0005241192
ARISTON HOLDING,NL0015000N33
ARRAS GROUP,IT0005540676
ASCOPIAVE,IT0004093263
AUTOSTRADE MERID,IT0000084043
AVIO,IT0005119810
AZIMUT,IT0003261697
B C SPEAKERS,IT0001268561
B.F.,IT0005187460
BANCA GENERALI,IT0001031084
BANCA IFIS,IT0003188064
BANCA MEDIOLANUM,IT0004776628
BANCA MONTE PASCHI SIENA,IT0005508921
BANCA SISTEMA,IT0003173629
BANCO BPM,IT0005218380
BASICNET,IT0001033700
BASTOGI SPA,IT0004412497
BCA POP SONDRIO,IT0000784196
BCA PROFILO,IT0001073045
BCO DESIO BRIANZA,IT0001041000
BEEWIZE,IT0001487047
BEGHELLI,IT0001223277
BFF BANK,IT0005244402
BIALETTI INDUSTRIE,IT0004222102
BIESSE,IT0003097257
BIOERA,IT0005516130
BORGOSESIA,IT0003217335
BPER BANCA,IT0000066123
BREMBO,IT0005252728
BRIOSCHI,IT0000066180
BRUNELLO CUCINELLI,IT0004764699
BUZZI,IT0001347308
CAIRO COMMUNICATION,IT0004329733
CALEFFI,IT0003025019
CALTAGIRONE,IT0003127930
CALTAGIRONE EDIT,IT0001472171
CAMPARI,NL0015435975
CAREL INDUSTRIES,IT0005331019
CELLULARLINE,IT0005244618
CEMBRE,IT0001128047
CEMENTIR HOLDING,NL0013995087
CENTRALE DEL LATTE D'ITALIA,IT0003023980
CHL,IT0001446613
CIA,IT0003389522
CIR,IT0000070786
CIVITANAVI SYSTEMS,IT0005466153
CLASS EDITORI,IT0005117848
CNH INDUSTRIAL,NL0010545661
COMER INDUSTRIES,IT0005246191
CONAFI,IT0004105653
CREDEM,IT0003121677
CSP INT IND CALZE,IT0001127874
CY4GATE,IT0005412504
D'AMICO,LU2592315662
DANIELI   C,IT0000076502
DATALOGIC,IT0004053440
DE'LONGHI,IT0003115950
DIASORIN,IT0003492391
DIGITAL BROS,IT0001469995
DIGITAL VALUE,IT0005347429
DOVALUE,IT0001044996
EEMS,IT0001498234
EL.EN.,IT0005453250
ELICA,IT0003404214
EMAK,IT0001237053
ENAV,IT0005176406
ENEL,IT0003128367
ENERVIT,IT0004356751
ENI,IT0003132476
EPRICE,IT0005084717
EQUITA GROUP,IT0005312027
ERG,IT0001157020
ESPRINET,IT0003850929
EUKEDOS,IT0004818297
EUROCOMMERCIAL PROPERTIES,NL0015000K93
EUROGROUP LAMINATIONS,IT0005527616
EUROTECH,IT0003895668
EXPRIVIA,IT0001477402
FERRARI,NL0011585146
FERRETTI,IT0005383291
FIDIA,IT0001498481
FIERA MILANO,IT0003365613
FILA,IT0004967292
FINCANTIERI,IT0001415246
FINE FOODS   PHARMACEUTICALS NTM,IT0005215329
FINECOBANK,IT0000072170
FNM,IT0000060886
GABETTI,IT0005023038
GAROFALO HEALTH CARE,IT0005345233
GAS PLUS,IT0004098510
GEFRAN,IT0003203947
GENERALFINANCE,IT0005144784
GENERALI ASS,IT0000062072
GEOX,IT0003697080
GEQUITY,IT0004942915
GIGLIO GROUP,IT0005122400
GPI,IT0005221517
GREENTHESIS,IT0001042297
GVS,IT0005411209
HERA,IT0001250932
I GRANDI VIAGGI,IT0005108219
IGD,IT0005322612
IL SOLE 24 ORE,IT0005283111
ILLIMITY BANK,IT0005359192
IMMSI,IT0001413837
INDEL B,IT0005245508
INDUSTRIE DE NORA,IT0005186371
INTERCOS,IT0005455875
INTERPUMP GROUP,IT0001078911
INTESA SANPAOLO,IT0000072618
INWIT,IT0005090300
IRCE,IT0001077780
IREN,IT0003027817
IT WAY,IT0003057624
ITALGAS,IT0005211237
ITALIAN EXHIBITION GROUP,IT0003411417
ITALMOBILIARE,IT0005253205
IVECO GROUP,NL0015000LU4
IVS GROUP,LU0556041001
JUVENTUS FC,IT0000336518
KME GROUP,IT0004552359
LANDI RENZO,IT0004210289
LEONARDO,IT0003856405
LOTTOMATICA GROUP,IT0005541336
LUVE,IT0005107492
LVENTURE GROUP,IT0005013013
MAIRE TECNIMONT,IT0004931058
MARR,IT0003428445
MEDIOBANCA,IT0000062957
MET.EXTRA GROUP,IT0005481855
MFE A,NL0015000MZ1
MFE B,NL0015000N09
MITTEL,IT0001447348
MONCLER,IT0004965148
MONDADORI EDIT,IT0001469383
MONDO TV,IT0001447785
MONRIF,IT0000066016
MUTUIONLINE,IT0004195308
NB AURORA,LU1738384764
NEODECORTECH,IT0005275778
NETWEEK,IT0005545675
NEWLAT FOOD,IT0005385213
NEXI,IT0005366767
NEXT RE,IT0005330516
OPENJOBMETIS,IT0003683528
ORSERO,IT0005138703
OVS,IT0005043507
PASQUARELLI AUTO,IT0005546319
PHARMANUTRA,IT0005274094
PHILOGEN,IT0005373789
PIAGGIO,IT0003073266
PIERREL,IT0005549644
PININFARINA SPA,IT0003056386
PIOVAN,IT0005337958
PIQUADRO,IT0004240443
PIRELLI   C,IT0005278236
PLC,IT0005339160
POSTE ITALIANE,IT0003796171
PRYSMIAN,IT0004176001
RAI WAY,IT0005054967
RATTI,IT0004724107
RCS MEDIAGROUP,IT0004931496
RECORDATI ORD,IT0003828271
REDFISH LONGTERM CAPITAL,IT0005549354
REPLY,IT0005282865
RESTART,IT0005349052
REVO INSURANCE,IT0005513202
RISANAMENTO,IT0001402269
S.S. LAZIO,IT0003621783
SABAF,IT0001042610
SAES GETTERS,IT0001029492
SAFILO GROUP,IT0004604762
SAIPEM,IT0005495657
SALCEF GROUP,IT0005388266
SALVATORE FERRAGAMO,IT0004712375
SANLORENZO,IT0003549422
SARAS,IT0000433307
SECO,IT0005438046
SERI INDUSTRIAL,IT0005283640
SERVIZI ITALIA,IT0003814537
SESA,IT0004729759
SIT,IT0005262149
SNAM,IT0003153415
SOFTLAB,IT0001469953
SOGEFI,IT0000076536
SOL,IT0001206769
SOMEC,IT0005329815
STELLANTIS,NL00150001Q9
STMICROELECTRONICS,NL0000226223
TAMBURI,IT0003153621
TECHNOGYM,IT0005162406
TECHNOPROBE,IT0005482333
TELECOM ITALIA,IT0003497168
TENARIS,LU0156801721
TERNA,IT0003242622
TESMEC,IT0004585243
TESSELLIS,IT0005496473
THE ITALIAN SEA GROUP,IT0005439085
TINEXTA,IT0005037210
TOD'S,IT0003007728
TOSCANA AEROPORTI,IT0000214293
TREVI FIN IND,IT0005422768
TRIBOO,IT0005001554
TXT E-SOLUTIONS,IT0001454435
UNICREDIT,IT0005239360
UNIDATA,IT0005338840
UNIEURO,IT0005239881
UNIPOL,IT0004810054
UNIPOLSAI,IT0004827447
VALSOIA,IT0001018362
VIANINI,IT0003127898
WEBUILD,IT0003865570
WIIT,IT0005440893
ZIGNAGO VETRO,IT0004171440
ZUCCHI,IT0005395071
