Company,ISIN,Ticker,Sector,currency,currentPrice,dividendRate,dividendYield,firstDividendDate,lastDividendDate,lastDividendValue,lastPriceWithDividend
IMPERIAL BRANDS PLC ORD 10P,IMB.L,IMB.L,Consumer Defensive,GBp,1771.5,1.42,0.0801,1997-06-02,2023-08-17,92.5,1755.41
ABRDN PLC ORD 13 61/63P,ABDN.L,ABDN.L,Financial Services,GBp,161.1,0.15,0.09060001,2007-03-28,2023-08-17,14.6,166.65
BERKELEY GROUP HOLDINGS (THE) PLC ORD 5.4141P,BKG.L,BKG.L,Consumer Cyclical,GBp,3909.0,1.29,0.032899998,1993-01-04,2023-08-17,128.74,4128.7
SERCO GROUP PLC ORD 2P,SRP.L,SRP.L,Industrials,GBp,148.4,0.03,0.020599999,1993-03-15,2023-05-11,1.92,149.18
JPMORGAN JAPANESE INV. TRUST PLC ORD 25P,JFJ.L,JFJ.L,Financial Services,GBp,464.5,0.06,0.013300001,1972-09-04,2022-12-22,6.2,456.3
RIO TINTO PLC ORD 10P,RIO.L,RIO.L,Basic Materials,GBp,4745.5,3.23,0.0681,1993-03-15,2023-08-10,323.02,4817.33
WPP PLC ORD 10P,WPP.L,WPP.L,Communication Services,GBp,747.6,0.39,0.052699998,2003-10-15,2023-06-08,24.4,862.2
RS GROUP PLC ORD 10P,RS1.L,RS1.L,Industrials,GBp,721.4,0.21,0.029000001,1992-11-16,2023-06-15,13.7,780.7
MARSHALLS PLC ORD 25P,MSLH.L,MSLH.L,Basic Materials,GBp,261.6,0.12,0.0478,1989-09-04,2023-06-01,9.9,293.1
IP GROUP PLC ORD 2P,IPO.L,IPO.L,Financial Services,GBp,58.2,0.01,0.0218,2006-04-26,2023-08-10,1.27,59.69
DOMINO'S PIZZA GROUP PLC ORD  25/48P,DOM.L,DOM.L,Consumer Cyclical,GBp,386.4,0.1,0.026099999,2000-04-03,2023-08-10,10.1,421.3
CRODA INTERNATIONAL PLC ORD 10.609756P,CRDA.L,CRDA.L,Basic Materials,GBp,5382.0,1.08,0.0201,1993-04-19,2023-04-27,61.0,6863.0
SOFTCAT PLC ORD Â£0.0005,SCT.L,SCT.L,Technology,GBp,1412.0,0.25,0.0174,2016-03-31,2021-11-11,26.9,1922.5
UP GLOBAL SOURCING HOLDINGS PLC ORDS 0.25P,UPGS.L,UPGS.L,Consumer Cyclical,GBp,127.75,0.07,0.056799997,2017-07-06,2022-01-06,3.33,186.67
HSBC HLDGS PLC ORD $0.50 (UK REG),HSBA.L,HSBA.L,Financial Services,GBp,587.8,0.42,0.0718,1989-04-14,2021-08-19,17.792299999999997,398.45
EXPERIAN PLC ORD USD0.10,EXPN.L,EXPN.L,Industrials,GBp,2712.0,0.59,0.0219,2007-01-03,2022-01-06,11.6929,3560.307
TT ELECTRONICS PLC ORD 25P,TTG.L,TTG.L,Technology,GBp,173.6,0.06,0.037100002,1989-05-22,2021-09-23,6.5,281.2
SAFESTORE HOLDINGS PLC ORD 1P,SAFE.L,SAFE.L,Real Estate,GBp,838.0,0.3,0.036199998,2007-07-18,2022-03-03,17.6,1238.4
ASSURA PLC ORD 10P,AGR.L,AGR.L,Real Estate,GBp,44.6,0.03,0.0734,2004-09-22,2021-12-09,2.9299999999999997,69.26
DCC PLC ORD EUR0.25 (CDI),DCC.L,DCC.L,Energy,GBp,4195.0,1.87,0.0446,2000-05-22,2021-11-18,163.7,5918.15
SMITHS NEWS PLC ORD 5P,SNWS.L,SNWS.L,Communication Services,GBp,43.0,0.04,0.096499994,1993-02-15,2022-01-13,1.15,37.7
LAND SECURITIES GROUP PLC ORD 10 2/3P,LAND.L,LAND.L,Real Estate,GBp,586.2,0.39,0.0665,1992-11-30,2021-11-25,30.5,739.3
SEVERN TRENT PLC ORD 97 17/19P,SVT.L,SVT.L,Utilities,GBp,2368.0,1.07,0.045100003,1992-12-14,2021-12-02,101.81,2831.14
CITY OF LONDON INVESTMENT GROUP PLC ORD 1P,CLIG.L,CLIG.L,Financial Services,GBp,388.0,0.33,0.0851,2007-02-07,2022-02-24,13.5,514.5
NEWRIVER REIT PLC ORD 1P,NRR.L,NRR.L,Real Estate,GBp,80.5,0.07,0.083000004,2010-12-15,2021-12-09,7.1,86.0
INTERMEDIATE CAPITAL GROUP PLC ORD 26 1/4P,ICP.L,ICP.L,Financial Services,GBp,1292.5,0.78,0.06,1994-10-03,2021-12-09,57.7,2228.3
AJ BELL PLC ORD GBP0.000125,AJB.L,AJB.L,Financial Services,GBp,280.2,0.08,0.028800001,2019-06-06,2022-01-06,5.0,380.6
VOLUTION GROUP PLC ORD GBP0.01,FAN.L,FAN.L,Industrials,GBp,361.6,0.07,0.0207,2015-04-02,2021-11-18,6.300000000000001,510.6
SEVERFIELD PLC ORD 2.5P,SFR.L,SFR.L,Industrials,GBp,68.6,0.03,0.0496,1993-09-20,2021-12-09,3.0,71.2
SPIRAX-SARCO ENGINEERING PLC ORD 26 12/13P,SPX.L,SPX.L,Industrials,GBp,9714.0,1.56,0.016,1993-04-19,2021-10-14,161.5,14761.5
STANDARD CHARTERED PLC ORD USD0.50,STAN.L,STAN.L,Financial Services,GBp,711.4,0.16,0.0222,1993-03-15,2022-02-24,9.0,566.0
PICTON PROPERTY INCOME LD ORD NPV,PCTN.L,PCTN.L,Real Estate,GBp,67.6,0.04,0.051599998,2015-08-13,2022-02-03,0.875,101.125
FUTURE PLC ORD 15P,FUTR.L,FUTR.L,Communication Services,GBp,746.0,0.03,0.0046,2004-04-21,2022-01-13,2.8,3481.2
BALFOUR BEATTY PLC ORD 50P,BBY.L,BBY.L,Industrials,GBp,320.0,0.1,0.0328,1993-04-19,2021-11-04,4.5,247.0
TBC BANK GROUP PLC ORD GBP0.01,TBCG.L,TBCG.L,Financial Services,GBp,2800.0,1.7,0.060300004,2017-06-08,2021-08-19,150.0,1280.0
REDROW PLC ORD 10.5P,RDW.L,RDW.L,Consumer Cyclical,GBp,456.0,0.32,0.070199996,1994-10-03,2022-02-24,10.0,573.8
TRIFAST PLC ORD 5P,TRI.L,TRI.L,Industrials,GBp,83.7,0.02,0.026800001,1994-07-25,2021-09-16,1.6,135.4
BARCLAYS PLC ORD 25P,BARC.L,BARC.L,Financial Services,GBp,143.98,0.08,0.0535,1990-05-25,2022-03-03,4.0,172.96
RHI MAGNESITA N.V. ORD EUR1.00 (DI),RHIM.L,RHIM.L,Industrials,GBp,2752.0,1.41,0.0513,2018-06-14,2021-08-26,150.0,3820.0
ANGLO AMERICAN PLC ORD USD0.54945,AAL.L,AAL.L,Basic Materials,GBp,2031.0,1.02,0.0504,1999-09-20,2021-08-19,131.551,3155.5
PALACE CAPITAL PLC ORD 10P,PCA.L,PCA.L,Real Estate,GBp,249.0,0.15,0.0602,2006-01-06,2021-12-09,11.75,272.75
BELLWAY PLC ORD 12.5P,BWY.L,BWY.L,Consumer Cyclical,GBp,2032.0,1.4,0.0689,1992-11-16,2021-12-02,117.5,3093.5
JUST GROUP PLC ORD 10P,JUST.L,JUST.L,Financial Services,GBp,72.0,0.02,0.0251,2014-11-13,2018-05-03,2.55,140.45
DR. MARTENS PLC ORD GBP0.01,DOCS.L,DOCS.L,Consumer Cyclical,GBp,153.5,0.06,0.038,2022-01-13,2022-01-13,1.22,344.58
B&M EUROPEAN VALUE RETAIL S.A. ORD 10P (DI),BME.L,BME.L,Consumer Defensive,GBp,567.2,0.15,0.0257,2014-12-04,2021-12-16,63.0,606.0
ANTOFAGASTA PLC ORD 5P,ANTO.L,ANTO.L,Basic Materials,GBp,1401.5,0.5,0.0354,1993-05-10,2021-09-02,51.881,1416.953
C&C GROUP PLC ORD EUR0.01 (CDI),CCR.L,CCR.L,Consumer Defensive,GBp,136.0,0.03,0.0241,2004-10-20,2019-10-31,15.48,347.233
STHREE PLC ORD 1P,STEM.L,STEM.L,Industrials,GBp,343.0,0.16,0.0464,2006-08-23,2021-11-04,8.0,585.0
WHITBREAD PLC ORD 76 122/153P,WTB.L,WTB.L,Consumer Cyclical,GBp,3358.0,0.74,0.0221,1992-11-30,2019-11-07,85.6545,3582.8
UNITE GROUP PLC ORD 25P,UTG.L,UTG.L,Real Estate,GBp,926.0,0.34,0.0378,2000-03-15,2021-09-16,19.25,1151.0
GLENCORE PLC ORD USD0.01,GLEN.L,GLEN.L,Basic Materials,GBp,426.15,0.36,0.0848,2011-09-07,2021-09-02,8.302299999999999,325.3
ASHMORE GROUP PLC ORD 0.01P,ASHM.L,ASHM.L,Financial Services,GBp,190.9,0.17,0.0885,2007-03-28,2022-03-03,4.8,243.2
MORGAN SINDALL GROUP PLC ORD 5P,MGNS.L,MGNS.L,Industrials,GBp,1924.0,1.04,0.0541,1993-08-16,2021-10-07,70.0,2265.0
TEN ENTERTAINMENT GROUP PLC ORD 1P,TEG.L,TEG.L,Consumer Cyclical,GBp,272.0,0.1,0.0366,2017-11-23,2019-11-21,11.4,253.3
EMPIRIC STUDENT PROPERTY PLC ORD GBP0.01,ESP.L,ESP.L,Real Estate,GBp,86.3,0.03,0.0377,2015-07-16,2022-03-03,0.625,87.975
RENISHAW PLC ORD 20P,RSW.L,RSW.L,Technology,GBp,3524.0,0.73,0.0208,1988-11-28,2021-10-28,66.0,5123.0
BARRATT DEVELOPMENTS PLC ORD 10P,BDEV.L,BDEV.L,Consumer Cyclical,GBp,431.3,0.36,0.08270001,1993-03-29,2021-09-30,29.4,648.3
HILTON FOOD GROUP PLC ORD 10P,HFG.L,HFG.L,Consumer Defensive,GBp,667.0,0.3,0.044499997,2007-10-30,2021-11-04,27.2,1199.8
TRAVIS PERKINS PLC ORD Â£0.11205105,TPK.L,TPK.L,Industrials,GBp,821.0,0.39,0.0475,1993-05-10,2021-09-30,35.0,1571.0
VODAFONE GROUP PLC ORD USD0.20 20/21,VOD.L,VOD.L,Communication Services,GBp,71.28,0.08,0.1088,1993-01-04,2021-11-25,4.5,113.28
PZ CUSSONS PLC ORD 1P,PZC.L,PZC.L,Consumer Defensive,GBp,157.8,0.06,0.040599998,1993-03-29,2021-10-21,6.09,219.58
BODYCOTE PLC ORD 17 3/11P,BOY.L,BOY.L,Industrials,GBp,635.0,0.22,0.034,1993-05-24,2021-10-07,25.6,811.8
GENUIT GROUP PLC ORD GBP0.001,GEN.L,GEN.L,Industrials,GBp,309.5,0.12,0.0397,2014-08-27,2021-09-02,8.8,797.0
M&G PLC ORD Â£0.05,MNG.L,MNG.L,Financial Services,GBp,185.0,0.2,0.105900005,2020-04-16,2021-08-19,18.33,215.5
SIRIUS REAL ESTATE LD ORD NPV,SRE.L,SRE.L,Real Estate,GBp,83.6,0.05,0.061300002,2007-12-12,2021-12-16,3.402,134.086
PAGEGROUP PLC ORD 1P,PAGE.L,PAGE.L,Industrials,GBp,421.2,0.16,0.0377,2001-09-19,2021-09-02,26.71,608.29
FOXTONS GROUP PLC ORD 1P,FOXT.L,FOXT.L,Real Estate,GBp,38.2,0.01,0.023599999,2014-04-30,2021-08-26,0.18,55.22
IG GROUP HOLDINGS PLC ORD 0.005P,IGG.L,IGG.L,Financial Services,GBp,667.0,0.45,0.0678,2006-02-01,2022-02-03,25.92,809.04
PEARSON PLC ORD 25P,PSON.L,PSON.L,Communication Services,GBp,832.8,0.22,0.026600001,1992-06-15,2021-08-12,19.8,793.1
OXFORD INSTRUMENTS PLC ORD 5P,OXIG.L,OXIG.L,Technology,GBp,2195.0,0.2,0.0089,1993-02-15,2021-12-02,21.4,2350.6
KINGFISHER PLC ORD 15 5/7P,KGF.L,KGF.L,Consumer Cyclical,GBp,227.1,0.12,0.0546,1993-05-24,2021-10-07,12.05,318.8
BANK OF GEORGIA GROUP PLC ORD 1P,BGEO.L,BGEO.L,Financial Services,GBp,3480.0,2.65,0.0761,2011-06-29,2021-10-21,34.244,1565.756
PETS AT HOME GROUP PLC ORD 1P,PETS.L,PETS.L,Consumer Cyclical,GBp,363.8,0.13,0.0352,2014-12-11,2021-12-02,9.8,465.1
PERSIMMON PLC ORD 10P,PSN.L,PSN.L,Consumer Cyclical,GBp,987.0,0.8,0.081099994,1993-03-15,2021-07-22,235.0,2901.0
PHOENIX GROUP HOLDINGS PLC ORD 10P,PHNX.L,PHNX.L,Financial Services,GBp,505.2,0.52,0.1022,2010-04-06,2021-08-19,48.2,643.5
REDDE NORTHGATE PLC ORD 50P,REDD.L,REDD.L,Industrials,GBp,330.5,0.24,0.0726,1997-12-19,2021-12-09,18.0,429.0
CREST NICHOLSON HOLDINGS PLC ORD 5P,CRST.L,CRST.L,Consumer Cyclical,GBp,170.0,0.17,0.1,2014-03-12,2021-09-23,4.1,409.1
BRITISH LAND CO PLC ORD 25P,BLND.L,BLND.L,Real Estate,GBp,313.9,0.23,0.0721,1993-01-04,2021-11-25,18.72,522.88
ST.JAMES'S PLACE PLC ORD 15P,STJ.L,STJ.L,Financial Services,GBp,850.4,0.53,0.0623,1993-06-21,2021-08-26,61.260000000000005,1600.95
ASTRAZENECA PLC ORD SHS $0.25,AZN.L,AZN.L,Healthcare,GBp,10660.0,2.35,0.022,1993-09-20,2022-02-24,145.3,8862.7
LEGAL & GENERAL GROUP PLC ORD 2 1/2P,LGEN.L,LGEN.L,Financial Services,GBp,212.7,0.2,0.0923,1993-03-29,2021-08-12,17.82,274.52
LLOYDS BANKING GROUP PLC ORD 10P,LLOY.L,LLOY.L,Financial Services,GBp,41.795,0.03,0.060300004,1996-02-26,2021-08-05,1.24,46.635
SCHRODERS PLC ORD 20P,SDR.L,SDR.L,Financial Services,GBp,402.4,0.21,0.053400002,1990-05-14,2021-08-19,116.0,594.55
CLOSE BROS GROUP PLC ORD 25P,CBG.L,CBG.L,Financial Services,GBp,800.0,0.67,0.083100006,1993-03-15,2021-10-14,60.0,1496.0
RECORD PLC ORD 0.025P,REC.L,REC.L,Financial Services,GBp,79.3,0.04,0.056700002,2008-06-18,2021-12-02,2.25,80.6
PRIMARY HEALTH PROPERTIES PLC ORD 12.5P,PHP.L,PHP.L,Real Estate,GBp,90.85,0.07,0.0734,1997-03-10,2022-01-13,1.625,148.275
AUTO TRADER GROUP PLC ORD 1P,AUTO.L,AUTO.L,Communication Services,GBp,587.0,0.08,0.0143,2016-01-07,2022-01-06,2.7,732.9
FORTERRA PLC ORD 1P,FORT.L,FORT.L,Basic Materials,GBp,164.4,0.12,0.076,2016-09-29,2021-09-23,6.0,278.8
KELLER GROUP PLC ORD 10P,KLR.L,KLR.L,Industrials,GBp,753.0,0.38,0.051,1994-09-26,2021-08-19,35.9,997.4
XP POWER LD ORD 1P (DI),XPP.L,XPP.L,Industrials,GBp,2100.0,0.94,0.0448,2007-09-05,2021-12-09,94.0,5129.0
CLS HOLDINGS PLC ORD 2.5P,CLI.L,CLI.L,Real Estate,GBp,123.0,0.08,0.0646,1994-10-03,2021-08-19,7.550000000000001,250.65
VIRGIN MONEY UK PLC ORD GBP0.10,VMUK.L,VMUK.L,Financial Services,GBp,159.8,0.11,0.067600004,2022-02-10,2022-02-10,1.0,216.2
SPEEDY HIRE PLC ORD 5P,SDY.L,SDY.L,Industrials,GBp,33.0,0.03,0.078,1992-12-14,2021-12-09,2.15,65.25
ITV PLC ORD 10P,ITV.L,ITV.L,Communication Services,GBp,68.92,0.05,0.0725,2000-07-27,2020-04-09,5.4,64.9
"FULLER,SMITH & TURNER PLC 'A' ORD 40P",FSTA.L,FSTA.L,Consumer Cyclical,GBp,552.0,0.15,0.026600001,1988-09-05,2021-12-16,3.9,656.1
SPIRE HEALTHCARE GROUP PLC ORD 1P,SPI.L,SPI.L,Healthcare,GBp,213.5,0.01,0.0023,2015-06-04,2020-05-28,2.5,87.8
BIG YELLOW GROUP PLC ORD 10P,BYG.L,BYG.L,Real Estate,GBp,1043.0,0.45,0.0433,2003-06-04,2021-12-02,37.6,1638.4
LIONTRUST ASSET MANAGEMENT PLC ORD 1P,LIO.L,LIO.L,Financial Services,GBp,658.0,0.72,0.1094,2001-06-20,2021-12-09,58.0,2268.0
SABRE INSURANCE GROUP PLC ORD GBP0.001P,SBRE.L,SBRE.L,Financial Services,GBp,153.2,0.04,0.0242,2018-08-23,2021-08-19,8.600000000000001,223.3
DISCOVERIE GROUP PLC ORD 5P,DSCV.L,DSCV.L,Technology,GBp,712.0,0.11,0.0161,1992-12-14,2021-12-16,10.35,946.65
JTC PLC ORD GBP0.01,JTC.L,JTC.L,Financial Services,GBp,675.0,0.1,0.0148,2018-09-27,2021-09-30,6.949999999999999,737.4
CLARKSON PLC ORD 25P,CKN.L,CKN.L,Industrials,GBp,2645.0,0.94,0.0355,1993-06-07,2021-09-02,81.0,3883.0
JOHNSON MATTHEY PLC ORD 110 49/53P,JMAT.L,JMAT.L,Basic Materials,GBp,1543.0,0.77,0.0499,1992-12-14,2021-12-02,72.0,2062.0
HAMMERSON PLC ORD 5P,HMSO.L,HMSO.L,Real Estate,GBp,24.38,0.01,0.0582,1988-10-31,2021-10-28,0.4,33.07
VISTRY GROUP PLC ORD 50P,VTY.L,VTY.L,Consumer Cyclical,GBp,725.0,0.55,0.0759,1998-10-05,2021-10-07,40.0,1109.5
SPIRENT COMMUNICATIONS PLC ORD 3 1/3P,SPT.L,SPT.L,Technology,GBp,148.7,0.06,0.0421,1993-11-15,2021-08-12,7.12,288.88
PRUDENTIAL PLC ORD 5P,PRU.L,PRU.L,Financial Services,GBp,946.8,0.15,0.0163,1993-03-29,2021-08-19,13.08,1430.723
INTEGRAFIN HOLDINGS PLC ORD 1P,IHP.L,IHP.L,Financial Services,GBp,223.8,0.1,0.044899996,2018-12-20,2021-12-23,10.0,515.5
AVON PROTECTION PLC ORD #1,AVON.L,AVON.L,Industrials,GBp,658.0,0.36,0.0554,1992-12-14,2022-02-10,22.5132,1152.487
VICTREX PLC ORD 1P,VCT.L,VCT.L,Basic Materials,GBp,1444.0,0.6,0.041199997,1996-06-10,2022-01-27,50.0,2096.0
MAN GROUP PLC ORD USD0.0342857142,EMG.L,EMG.L,Financial Services,GBp,203.6,0.12,0.061300002,1994-12-28,2021-08-05,9.7,204.6
PLUS500 LTD ORD ILS0.01 (DI),PLUS.L,PLUS.L,Financial Services,GBp,1412.0,0.49,0.0339,2013-09-04,2022-02-24,22.18,1455.82
GRAINGER PLC ORD 5P,GRI.L,GRI.L,Real Estate,GBp,227.0,0.06,0.0272,1993-02-01,2021-12-30,5.15,314.68
DERWENT LONDON PLC ORD 5P,DLN.L,DLN.L,Real Estate,GBp,1821.0,0.79,0.0434,1993-04-19,2021-09-09,75.45,3702.0
OSB GROUP PLC ORD 1P,OSB.L,OSB.L,Financial Services,GBp,342.6,0.32,0.0934,2015-05-14,2021-08-26,19.4,504.6
HALFORDS GROUP PLC ORD 1P,HFD.L,HFD.L,Consumer Cyclical,GBp,180.4,0.1,0.0554,2004-12-01,2021-12-09,8.0,360.8
OCEAN WILSONS HOLDINGS LD ORD 20P,OCN.L,OCN.L,Industrials,GBp,974.0,0.56,0.0577,2006-10-04,2021-05-13,49.656,935.344
WH SMITH PLC ORD 22 6/67P,SMWH.L,SMWH.L,Consumer Cyclical,GBp,1423.0,0.17,0.0121,2007-01-03,2020-01-09,41.0,2577.0
HEADLAM GROUP PLC ORD 5P,HEAD.L,HEAD.L,Consumer Cyclical,GBp,214.0,0.17,0.0813,1993-04-19,2021-10-28,7.8,461.2
FRESNILLO PLC ORD USD0.50,FRES.L,FRES.L,Basic Materials,GBp,549.4,0.12,0.0214,2008-08-27,2021-08-12,23.7399,784.456
CENTAMIN PLC ORD NPV (DI),CEY.L,CEY.L,Basic Materials,GBp,87.75,0.04,0.040799998,2014-09-03,2021-09-02,6.1155,96.25
CAPITAL & REGIONAL PLC ORD 10P,CAL.L,CAL.L,Real Estate,GBp,56.5,0.05,0.0943,1992-10-19,2020-06-04,22.0,123.95
TI FLUID SYSTEMS PLC ORD 1P,TIFS.L,TIFS.L,Consumer Cyclical,GBp,126.8,0.03,0.025999999,2018-04-26,2021-08-19,7.57,309.34
PENNON GROUP PLC ORD 61 1/20P,PNN.L,PNN.L,Utilities,GBp,623.0,0.43,0.0686,1992-12-14,2022-01-27,11.7,1042.3
HUNTING PLC ORD 25P,HTG.L,HTG.L,Energy,GBp,231.0,0.08,0.034,1993-04-19,2021-10-07,9.8066,210.569
CMC MARKETS PLC ORD 25P,CMCX.L,CMCX.L,Financial Services,GBp,110.2,0.07,0.0672,2016-09-08,2021-11-25,24.93,241.0
COATS GROUP PLC ORD 5P,COA.L,COA.L,Consumer Cyclical,GBp,72.0,0.02,0.0271,1989-11-27,2021-10-21,1.9100000000000001,67.69
HARWORTH GROUP PLC ORD 10P,HWG.L,HWG.L,Real Estate,GBp,105.0,0.01,0.0127,1993-09-20,2021-09-23,1.833,182.633
BRAEMAR PLC ORD 10P,BMS.L,BMS.L,Industrials,GBp,233.0,0.11,0.047199998,1998-04-27,2021-11-11,7.0,246.0
